"Date","Price","Open","High","Low","Vol.","Change %"
"12-02-2025","14.8950","14.8700","15.6225","14.6075","","0.17%"
"11-02-2025","14.8700","14.4450","15.4325","13.8450","","2.94%"
"10-02-2025","14.4450","13.6850","14.7175","13.6850","","5.55%"
"07-02-2025","13.6850","14.1750","14.5050","13.5500","","-3.46%"
"06-02-2025","14.1750","14.0825","14.6400","13.1500","","0.66%"
"05-02-2025","14.0825","14.0175","14.2975","13.4975","","0.46%"
"04-02-2025","14.0175","14.3525","15.1325","13.6650","","-2.33%"
"03-02-2025","14.3525","14.0950","15.1125","14.0950","","1.83%"
"01-02-2025","14.0950","16.2475","16.5800","14.0125","","-13.25%"
"31-01-2025","16.2475","17.3900","17.9425","16.1075","","-6.57%"
"30-01-2025","17.3900","18.6400","18.9850","17.2175","","-6.71%"
"29-01-2025","18.6400","18.1950","19.0100","17.2875","","2.45%"
"28-01-2025","18.1950","18.1325","18.5025","16.8275","","0.34%"
"27-01-2025","18.1325","16.7450","18.5225","16.7450","","8.29%"
"24-01-2025","16.7450","16.6950","17.3100","16.1175","","0.30%"
"23-01-2025","16.6950","16.7725","17.0825","15.6675","","-0.46%"
"22-01-2025","16.7725","17.0550","17.2950","15.9050","","-1.66%"
"21-01-2025","17.0550","16.4150","17.4450","15.2025","","3.90%"
"20-01-2025","16.4150","15.7475","17.0200","15.1825","","4.24%"
"17-01-2025","15.7475","15.4650","16.3825","14.0525","","1.83%"
"16-01-2025","15.4650","15.2575","15.5725","13.9575","","1.36%"
"15-01-2025","15.2575","15.4700","15.6625","15.1975","","-1.37%"
"14-01-2025","15.4700","15.9975","15.9975","15.1150","","-3.30%"
"13-01-2025","15.9975","14.9150","16.1850","14.4500","","7.26%"
"10-01-2025","14.9150","14.6575","15.5150","14.6575","","1.76%"
"09-01-2025","14.6575","14.4650","14.8850","13.7475","","1.33%"
"08-01-2025","14.4650","14.6600","14.8800","14.0950","","-1.33%"
"07-01-2025","14.6600","15.6500","15.6500","14.3450","","-6.33%"
"06-01-2025","15.6500","13.5400","15.9200","13.5400","","15.58%"
"03-01-2025","13.5400","13.7375","13.9775","13.2250","","-1.44%"
"02-01-2025","13.7375","14.5075","14.8025","13.6300","","-5.31%"
"01-01-2025","14.5075","14.4475","14.8350","14.3050","","0.42%"
"31-12-2024","14.4475","13.9725","14.6375","13.9725","","3.40%"
"30-12-2024","13.9725","13.2375","14.3700","13.2375","","5.55%"
"27-12-2024","13.2375","14.0350","14.2375","13.0350","","-5.68%"
"26-12-2024","14.0350","13.1775","14.3875","13.0825","","6.51%"
"24-12-2024","13.1775","13.5200","15.0300","12.9750","","-2.53%"
"23-12-2024","13.5200","15.0725","16.8825","13.4175","","-10.30%"
"20-12-2024","15.0725","14.5100","15.5525","14.3975","","3.88%"
"19-12-2024","14.5100","14.3725","15.4350","13.8700","","0.96%"
"18-12-2024","14.3725","14.4850","15.2425","14.2700","","-0.78%"
"17-12-2024","14.4850","14.0200","14.9750","13.1800","","3.32%"
"16-12-2024","14.0200","13.0525","14.5050","13.0525","","7.41%"
"13-12-2024","13.0525","13.1900","14.7200","12.4700","","-1.04%"
"12-12-2024","13.1900","13.2675","13.4000","12.9475","","-0.58%"
"11-12-2024","13.2675","13.7775","14.1100","13.1750","","-3.70%"
"10-12-2024","13.7775","14.1075","14.6725","13.6975","","-2.34%"
"09-12-2024","14.1075","14.1400","14.6350","13.4500","","-0.23%"
